id,question,answer,intent
1,Namaste,Namaste! Ma tapai lai kasari madat garna sakchu?,greetings
2,Hello,Hello! Ma tapai ko lagi ke garna sakchu?,greetings
3,K cha?,"Thikai chha, tapai lai kasari madat garna sakchu?",greetings
4,Kasto chha?,"Ma thikai chhu, tapai lai ke chahincha?",greetings
5,Hi,Hi! Tapai lai ma ke madat garna sakchu?,greetings
6,Good morning,Good morning! Tapai ko lagi ma ke garna sakchu?,greetings
7,Good afternoon,Good afternoon! Ma tapai lai kasari madat garna sakchu?,greetings
8,Good evening,Good evening! Tapai ko lagi ma ke garna sakchu?,greetings
9,Sanchai?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
10,K chha?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
11,Ma tapai lai kasari madat garna sakchu?,Namaste! Tapai ko lagi ma ke garna sakchu?,greetings
12,Ke chha k k?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
13,Tapai lai ke cha?,"Sab thikai chha, tapai ko lagi ma ke garna sakchu?",greetings
14,Tapai lai kasari madat garna sakchu?,Tapai lai k chahincha?,greetings
15,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
16,"Ma sanchai chhu, tapai?","Ma pani sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
17,Sab thikai chha?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
18,Tapai lai ke chahincha?,Tapai ko lagi ma ke garna sakchu?,greetings
19,Hello ma sanchai chhu,"Hello! Ma pani sanchai chhu, tapai lai ke chahincha?",greetings
20,"Hi, kasari chha?","Ma sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
21,Namaskar,Namaskar! Ma tapai lai kasari madat garna sakchu?,greetings
22,"Hello, kasari chha?","Thikai chha, tapai lai kasari madat garna sakchu?",greetings
23,Kasto din bhayo?,"Din ramro bhayo, tapai lai kasari madat garna sakchu?",greetings
24,Tapai ko din kasto bhayo?,"Mero din ramro bhayo, tapai lai ke chahincha?",greetings
25,Good day,Good day! Tapai ko lagi ma ke garna sakchu?,greetings
26,"Namaste, kasto chha?","Namaste! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
27,"Hello, tapai lai kasari madat garna sakchu?",Hello! Tapai ko lagi ma ke garna sakchu?,greetings
28,Sanchai hunu hunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
29,K cha? Sabai thikai?,"Thikai chha, tapai lai kasari madat garna sakchu?",greetings
30,"Hello, ma sanchai chhu","Hello! Ma pani sanchai chhu, tapai lai ke chahincha?",greetings
31,Tapai kasto chha?,"Ma sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
32,Namaste! Ma sanchai chhu,"Namaste! Ma pani sanchai chhu, tapai lai ke chahincha?",greetings
33,"Good morning, kasari chha?","Good morning! Ma sanchai chhu, tapai lai ke chahincha?",greetings
34,"Good afternoon, kasari chha?","Good afternoon! Ma sanchai chhu, tapai lai ke chahincha?",greetings
35,"Good evening, kasari chha?","Good evening! Ma sanchai chhu, tapai lai ke chahincha?",greetings
36,"Hi, ma thikai chhu","Hi! Ma pani thikai chhu, tapai lai kasari madat garna sakchu?",greetings
37,"Namaste, tapai lai kasto chha?","Namaste! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
38,Tapai sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
39,Tapai kasto chha aaj?,"Ma thikai chhu, tapai lai ke chahincha?",greetings
40,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
41,"Hello, kasari hunuhunchha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
42,"Namaste, k cha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
43,"Hi, kasto chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
44,"Good morning, k cha?","Good morning! Sab thikai chha, tapai lai ke chahincha?",greetings
45,"Good afternoon, k cha?","Good afternoon! Sab thikai chha, tapai lai ke chahincha?",greetings
46,"Good evening, k cha?","Good evening! Sab thikai chha, tapai lai ke chahincha?",greetings
47,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
48,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
49,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
50,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
51,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
52,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
53,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
54,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
55,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
56,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
57,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
58,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
59,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
60,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
61,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
62,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
63,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
64,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
65,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
66,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
67,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
68,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
69,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
70,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
71,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
72,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
73,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
74,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
75,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
76,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
77,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
78,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
79,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
80,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
81,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
82,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
83,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
84,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
85,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
86,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
87,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
88,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
89,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
90,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
91,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
