Text,Label
Terrible service and rude staff.,0
Highly recommend this to everyone!,1
I regret buying this.,0
Fantastic service and friendly staff.,1
Highly recommend this to everyone!,1
Not worth the money at all.,0
"Awful experience, never buying again.",0
Not worth the money at all.,0
"I love this product, it's amazing!",1
Very happy with the quality of the product.,1
This is exactly what I was looking for.,1
Very happy with the quality of the product.,1
Highly recommend this to everyone!,1
This does not meet expectations at all.,0
Horrible! Would not recommend.,0
This is exactly what I was looking for.,1
This is the worst experience ever.,0
"Superb experience, will definitely buy again.",1
Very happy with the quality of the product.,1
Very happy with the quality of the product.,1
Not worth the money at all.,0
"Awful experience, never buying again.",0
Great value for the money.,1
This is the worst experience ever.,0
Very happy with the quality of the product.,1
Perfect! Couldn't ask for better.,1
Fantastic service and friendly staff.,1
Very happy with the quality of the product.,1
"Awful experience, never buying again.",0
"Waste of money, absolutely terrible.",0
Perfect! Couldn't ask for better.,1
The product broke after one use.,0
"Waste of money, absolutely terrible.",0
This does not meet expectations at all.,0
Perfect! Couldn't ask for better.,1
"Awful experience, never buying again.",0
This is exactly what I was looking for.,1
This is exactly what I was looking for.,1
Very happy with the quality of the product.,1
This exceeded my expectations.,1
This is the worst experience ever.,0
Very happy with the quality of the product.,1
"Awful experience, never buying again.",0
Perfect! Couldn't ask for better.,1
Great value for the money.,1
This is exactly what I was looking for.,1
This is the worst experience ever.,0
"Awful experience, never buying again.",0
Highly recommend this to everyone!,1
This does not meet expectations at all.,0
"Awful experience, never buying again.",0
"Waste of money, absolutely terrible.",0
Highly recommend this to everyone!,1
I regret buying this.,0
Highly recommend this to everyone!,1
This does not meet expectations at all.,0
Excellent work! Truly satisfied.,1
This exceeded my expectations.,1
The product broke after one use.,0
Fantastic service and friendly staff.,1
"Superb experience, will definitely buy again.",1
This exceeded my expectations.,1
Excellent work! Truly satisfied.,1
Not worth the money at all.,0
"Waste of money, absolutely terrible.",0
This is exactly what I was looking for.,1
Very happy with the quality of the product.,1
I'm very disappointed with the quality.,0
I regret buying this.,0
"Superb experience, will definitely buy again.",1
Fantastic service and friendly staff.,1
I'm very disappointed with the quality.,0
The product broke after one use.,0
Very happy with the quality of the product.,1
Excellent work! Truly satisfied.,1
"Waste of money, absolutely terrible.",0
I regret buying this.,0
I regret buying this.,0
This does not meet expectations at all.,0
Terrible service and rude staff.,0
The product broke after one use.,0
The product broke after one use.,0
This exceeded my expectations.,1
The product broke after one use.,0
Terrible service and rude staff.,0
"I love this product, it's amazing!",1
Fantastic service and friendly staff.,1
"Waste of money, absolutely terrible.",0
Horrible! Would not recommend.,0
Great value for the money.,1
Horrible! Would not recommend.,0
The product broke after one use.,0
Terrible service and rude staff.,0
I regret buying this.,0
I regret buying this.,0
Great value for the money.,1
"I love this product, it's amazing!",1
Terrible service and rude staff.,0
This is exactly what I was looking for.,1
I regret buying this.,0
Perfect! Couldn't ask for better.,1
I regret buying this.,0
I regret buying this.,0
"I love this product, it's amazing!",1
Fantastic service and friendly staff.,1
This does not meet expectations at all.,0
Perfect! Couldn't ask for better.,1
"I love this product, it's amazing!",1
"Superb experience, will definitely buy again.",1
Horrible! Would not recommend.,0
Horrible! Would not recommend.,0
Highly recommend this to everyone!,1
Perfect! Couldn't ask for better.,1
"I love this product, it's amazing!",1
This is exactly what I was looking for.,1
"Waste of money, absolutely terrible.",0
Excellent work! Truly satisfied.,1
This does not meet expectations at all.,0
"Awful experience, never buying again.",0
The product broke after one use.,0
"Awful experience, never buying again.",0
"Superb experience, will definitely buy again.",1
I regret buying this.,0
I'm very disappointed with the quality.,0
Fantastic service and friendly staff.,1
"I love this product, it's amazing!",1
The product broke after one use.,0
Fantastic service and friendly staff.,1
This exceeded my expectations.,1
"Waste of money, absolutely terrible.",0
Great value for the money.,1
Great value for the money.,1
I regret buying this.,0
I regret buying this.,0
Not worth the money at all.,0
This exceeded my expectations.,1
Fantastic service and friendly staff.,1
Highly recommend this to everyone!,1
The product broke after one use.,0
This exceeded my expectations.,1
Fantastic service and friendly staff.,1
Very happy with the quality of the product.,1
Very happy with the quality of the product.,1
"Awful experience, never buying again.",0
"Superb experience, will definitely buy again.",1
Very happy with the quality of the product.,1
"Awful experience, never buying again.",0
This is the worst experience ever.,0
"Superb experience, will definitely buy again.",1
Not worth the money at all.,0
Great value for the money.,1
"Awful experience, never buying again.",0
Fantastic service and friendly staff.,1
This exceeded my expectations.,1
"Waste of money, absolutely terrible.",0
Fantastic service and friendly staff.,1
This is the worst experience ever.,0
Very happy with the quality of the product.,1
Great value for the money.,1
This is exactly what I was looking for.,1
"I love this product, it's amazing!",1
This does not meet expectations at all.,0
Horrible! Would not recommend.,0
I'm very disappointed with the quality.,0
"Awful experience, never buying again.",0
This is the worst experience ever.,0
This is the worst experience ever.,0
This does not meet expectations at all.,0
This exceeded my expectations.,1
Not worth the money at all.,0
I'm very disappointed with the quality.,0
The product broke after one use.,0
"Superb experience, will definitely buy again.",1
I'm very disappointed with the quality.,0
Perfect! Couldn't ask for better.,1
Great value for the money.,1
This is exactly what I was looking for.,1
Great value for the money.,1
"Awful experience, never buying again.",0
"I love this product, it's amazing!",1
This exceeded my expectations.,1
Excellent work! Truly satisfied.,1
Great value for the money.,1
"Waste of money, absolutely terrible.",0
This exceeded my expectations.,1
Very happy with the quality of the product.,1
The product broke after one use.,0
"Awful experience, never buying again.",0
This is exactly what I was looking for.,1
Great value for the money.,1
Very happy with the quality of the product.,1
"Superb experience, will definitely buy again.",1
Terrible service and rude staff.,0
This does not meet expectations at all.,0
Terrible service and rude staff.,0
Not worth the money at all.,0
"Awful experience, never buying again.",0
Very happy with the quality of the product.,1
I regret buying this.,0
This exceeded my expectations.,1
"I love this product, it's amazing!",1
"Superb experience, will definitely buy again.",1
Not worth the money at all.,0
Very happy with the quality of the product.,1
"Waste of money, absolutely terrible.",0
"I love this product, it's amazing!",1
Very happy with the quality of the product.,1
The product broke after one use.,0
"Superb experience, will definitely buy again.",1
Terrible service and rude staff.,0
"Waste of money, absolutely terrible.",0
Excellent work! Truly satisfied.,1
I regret buying this.,0
This does not meet expectations at all.,0
Excellent work! Truly satisfied.,1
"I love this product, it's amazing!",1
Perfect! Couldn't ask for better.,1
This is the worst experience ever.,0
This exceeded my expectations.,1
"Waste of money, absolutely terrible.",0
Terrible service and rude staff.,0
Horrible! Would not recommend.,0
"Awful experience, never buying again.",0
I regret buying this.,0
"Awful experience, never buying again.",0
"Superb experience, will definitely buy again.",1
Perfect! Couldn't ask for better.,1
This exceeded my expectations.,1
Great value for the money.,1
I regret buying this.,0
"Awful experience, never buying again.",0
"I love this product, it's amazing!",1
Terrible service and rude staff.,0
"Superb experience, will definitely buy again.",1
This exceeded my expectations.,1
Great value for the money.,1
Fantastic service and friendly staff.,1
This is exactly what I was looking for.,1
"Superb experience, will definitely buy again.",1
I'm very disappointed with the quality.,0
"Superb experience, will definitely buy again.",1
This is exactly what I was looking for.,1
"I love this product, it's amazing!",1
"Awful experience, never buying again.",0
"Waste of money, absolutely terrible.",0
Great value for the money.,1
I'm very disappointed with the quality.,0
"Superb experience, will definitely buy again.",1
Great value for the money.,1
This exceeded my expectations.,1
Fantastic service and friendly staff.,1
Great value for the money.,1
Not worth the money at all.,0
Horrible! Would not recommend.,0
"Waste of money, absolutely terrible.",0
Horrible! Would not recommend.,0
Highly recommend this to everyone!,1
This is the worst experience ever.,0
Terrible service and rude staff.,0
Very happy with the quality of the product.,1
Highly recommend this to everyone!,1
The product broke after one use.,0
Great value for the money.,1
Great value for the money.,1
Excellent work! Truly satisfied.,1
This is exactly what I was looking for.,1
Perfect! Couldn't ask for better.,1
Terrible service and rude staff.,0
The product broke after one use.,0
Great value for the money.,1
Great value for the money.,1
This is exactly what I was looking for.,1
Terrible service and rude staff.,0
This is exactly what I was looking for.,1
Highly recommend this to everyone!,1
Excellent work! Truly satisfied.,1
Great value for the money.,1
Horrible! Would not recommend.,0
Excellent work! Truly satisfied.,1
Highly recommend this to everyone!,1
This does not meet expectations at all.,0
"Waste of money, absolutely terrible.",0
I regret buying this.,0
Terrible service and rude staff.,0
Great value for the money.,1
Highly recommend this to everyone!,1
Great value for the money.,1
Excellent work! Truly satisfied.,1
Fantastic service and friendly staff.,1
Horrible! Would not recommend.,0
Terrible service and rude staff.,0
I'm very disappointed with the quality.,0
Great value for the money.,1
I regret buying this.,0
"Waste of money, absolutely terrible.",0
This does not meet expectations at all.,0
The product broke after one use.,0
Horrible! Would not recommend.,0
"Waste of money, absolutely terrible.",0
Highly recommend this to everyone!,1
This does not meet expectations at all.,0
This does not meet expectations at all.,0
Horrible! Would not recommend.,0
"Waste of money, absolutely terrible.",0
The product broke after one use.,0
Not worth the money at all.,0
Highly recommend this to everyone!,1
Very happy with the quality of the product.,1
"I love this product, it's amazing!",1
The product broke after one use.,0
This exceeded my expectations.,1
This exceeded my expectations.,1
This does not meet expectations at all.,0
This is the worst experience ever.,0
"Awful experience, never buying again.",0
I'm very disappointed with the quality.,0
The product broke after one use.,0
This exceeded my expectations.,1
Terrible service and rude staff.,0
This is exactly what I was looking for.,1
Fantastic service and friendly staff.,1
This exceeded my expectations.,1
"Superb experience, will definitely buy again.",1
Highly recommend this to everyone!,1
Fantastic service and friendly staff.,1
This does not meet expectations at all.,0
This is the worst experience ever.,0
I'm very disappointed with the quality.,0
"Awful experience, never buying again.",0
Terrible service and rude staff.,0
Excellent work! Truly satisfied.,1
This is exactly what I was looking for.,1
Fantastic service and friendly staff.,1
This is the worst experience ever.,0
This is the worst experience ever.,0
"Superb experience, will definitely buy again.",1
Horrible! Would not recommend.,0
Highly recommend this to everyone!,1
"Awful experience, never buying again.",0
Very happy with the quality of the product.,1
This is the worst experience ever.,0
"I love this product, it's amazing!",1
Horrible! Would not recommend.,0
"I love this product, it's amazing!",1
"I love this product, it's amazing!",1
Not worth the money at all.,0
Perfect! Couldn't ask for better.,1
This exceeded my expectations.,1
I'm very disappointed with the quality.,0
Terrible service and rude staff.,0
Horrible! Would not recommend.,0
Great value for the money.,1
This exceeded my expectations.,1
Highly recommend this to everyone!,1
Great value for the money.,1
"Waste of money, absolutely terrible.",0
I regret buying this.,0
Very happy with the quality of the product.,1
This does not meet expectations at all.,0
This does not meet expectations at all.,0
"Awful experience, never buying again.",0
This exceeded my expectations.,1
The product broke after one use.,0
Not worth the money at all.,0
Fantastic service and friendly staff.,1
Not worth the money at all.,0
"Superb experience, will definitely buy again.",1
This exceeded my expectations.,1
I'm very disappointed with the quality.,0
Highly recommend this to everyone!,1
Horrible! Would not recommend.,0
"Waste of money, absolutely terrible.",0
This exceeded my expectations.,1
Not worth the money at all.,0
Horrible! Would not recommend.,0
This is the worst experience ever.,0
Horrible! Would not recommend.,0
This is exactly what I was looking for.,1
I'm very disappointed with the quality.,0
This does not meet expectations at all.,0
